,Unnamed: 0.1,Unnamed: 0,Date,Adj Close,% change
0,0,0,2022-01-03,1034.0,0.0
1,1,1,2022-01-04,994.0,-0.03868471953578334
2,2,2,2022-01-05,936.0,-0.05835010060362178
3,3,3,2022-01-06,920.0,-0.017094017094017144
4,4,4,2022-01-07,902.0,-0.019565217391304346
5,5,5,2022-01-10,800.0,-0.11308203991130816
6,6,6,2022-01-11,800.0,0.0
7,7,7,2022-01-12,794.0,-0.007499999999999951
8,8,8,2022-01-13,794.0,0.0
9,9,9,2022-01-14,760.0,-0.04282115869017633
10,10,10,2022-01-18,720.0,-0.052631578947368474
11,11,11,2022-01-19,684.0,-0.050000000000000044
12,12,12,2022-01-20,670.0,-0.020467836257309968
13,13,13,2022-01-21,600.0,-0.10447761194029848
14,14,14,2022-01-24,642.0,0.07000000000000006
15,15,15,2022-01-25,660.0,0.028037383177569986
16,16,16,2022-01-26,610.0,-0.0757575757575758
17,17,17,2022-01-27,588.0,-0.0360655737704918
18,18,18,2022-01-28,652.0,0.10884353741496589
19,19,19,2022-01-31,698.0,0.07055214723926384
20,20,20,2022-02-01,756.0,0.08309455587392556
21,21,21,2022-02-02,736.0,-0.02645502645502651
22,22,22,2022-02-03,678.0,-0.07880434782608692
23,23,23,2022-02-04,700.0,0.032448377581120846
24,24,24,2022-02-07,682.0,-0.02571428571428569
25,25,25,2022-02-08,640.0,-0.061583577712609916
26,26,26,2022-02-09,668.0,0.043749999999999956
27,27,27,2022-02-10,664.0,-0.005988023952095856
28,28,28,2022-02-11,630.0,-0.051204819277108404
29,29,29,2022-02-14,620.0,-0.015873015873015928
30,30,30,2022-02-15,668.0,0.07741935483870965
31,31,31,2022-02-16,638.0,-0.04491017964071853
32,32,32,2022-02-17,614.0,-0.037617554858934144
33,33,33,2022-02-18,614.0,0.0
34,34,34,2022-02-22,570.0,-0.07166123778501632
35,35,35,2022-02-23,562.0,-0.01403508771929829
36,36,36,2022-02-24,592.0,0.053380782918149405
37,37,37,2022-02-25,616.0,0.04054054054054057
38,38,38,2022-02-28,612.0,-0.00649350649350644
39,39,39,2022-03-01,604.0,-0.013071895424836555
40,40,40,2022-03-02,580.0,-0.039735099337748325
41,41,41,2022-03-03,552.0,-0.0482758620689655
42,42,42,2022-03-04,560.0,0.01449275362318847
43,43,43,2022-03-07,506.0,-0.09642857142857142
44,44,44,2022-03-08,510.0,0.007905138339920903
45,45,45,2022-03-09,560.0,0.0980392156862746
46,46,46,2022-03-10,556.0,-0.0071428571428571175
47,47,47,2022-03-11,520.0,-0.06474820143884896
48,48,48,2022-03-14,474.0,-0.08846153846153848
49,49,49,2022-03-15,480.0,0.012658227848101333
50,50,50,2022-03-16,494.0,0.029166666666666563
51,51,51,2022-03-17,512.0,0.036437246963562764
52,52,52,2022-03-18,536.0,0.046875
53,53,53,2022-03-21,540.0,0.00746268656716409
54,54,54,2022-03-22,540.0,0.0
55,55,55,2022-03-23,530.0,-0.01851851851851849
56,56,56,2022-03-24,550.0,0.037735849056603765
57,57,57,2022-03-25,530.0,-0.036363636363636376
58,58,58,2022-03-28,520.0,-0.018867924528301883
59,59,59,2022-03-29,520.0,0.0
60,60,60,2022-03-30,480.0,-0.07692307692307687
61,61,61,2022-03-31,420.0,-0.125
62,62,62,2022-04-01,412.0,-0.01904761904761909
63,63,63,2022-04-04,388.0,-0.058252427184465994
64,64,64,2022-04-05,366.0,-0.05670103092783507
65,65,65,2022-04-06,336.0,-0.08196721311475408
66,66,66,2022-04-07,320.0,-0.04761904761904767
67,67,67,2022-04-08,294.0,-0.08125000000000004
68,68,68,2022-04-11,256.0,-0.12925170068027214
69,69,69,2022-04-12,376.0,0.46875
70,70,70,2022-04-13,374.0,-0.005319148936170248
71,71,71,2022-04-14,326.0,-0.12834224598930477
72,72,72,2022-04-18,366.0,0.12269938650306744
73,73,73,2022-04-19,330.0,-0.09836065573770492
74,74,74,2022-04-20,322.0,-0.024242424242424288
75,75,75,2022-04-21,312.0,-0.03105590062111796
76,76,76,2022-04-22,282.0,-0.09615384615384615
77,77,77,2022-04-25,272.0,-0.03546099290780147
78,78,78,2022-04-26,224.0,-0.17647058823529416
79,79,79,2022-04-27,157.0,-0.2991071428571429
80,80,80,2022-04-28,131.0,-0.16560509554140124
81,81,81,2022-04-29,114.5,-0.12595419847328249
82,82,82,2022-05-02,112.5,-0.017467248908296984
83,83,83,2022-05-03,103.5,-0.07999999999999996
84,84,84,2022-05-04,101.5,-0.019323671497584516
85,85,85,2022-05-05,94.0,-0.07389162561576357
86,86,86,2022-05-06,89.5,-0.0478723404255319
87,87,87,2022-05-09,88.5,-0.011173184357541888
88,88,88,2022-05-10,89.5,0.011299435028248483
89,89,89,2022-05-11,81.0,-0.0949720670391061
90,90,90,2022-05-12,82.5,0.0185185185185186
91,91,91,2022-05-13,81.5,-0.012121212121212088
92,92,92,2022-05-16,70.0,-0.14110429447852757
93,93,93,2022-05-17,65.0,-0.0714285714285714
94,94,94,2022-05-18,67.5,0.03846153846153855
95,95,95,2022-05-19,69.5,0.029629629629629672
96,96,96,2022-05-20,64.5,-0.07194244604316546
97,97,97,2022-05-23,65.5,0.015503875968992276
98,98,98,2022-05-24,69.0,0.05343511450381677
99,99,99,2022-05-25,67.5,-0.021739130434782594
100,100,100,2022-05-26,67.5,0.0
101,101,101,2022-05-27,77.5,0.14814814814814814
102,102,102,2022-05-31,70.0,-0.09677419354838712
103,103,103,2022-06-01,68.5,-0.021428571428571463
104,104,104,2022-06-02,68.0,-0.007299270072992692
105,105,105,2022-06-03,64.0,-0.05882352941176472
106,106,106,2022-06-06,62.5,-0.0234375
107,107,107,2022-06-07,63.0,0.008000000000000007
108,108,108,2022-06-08,66.0,0.04761904761904767
109,109,109,2022-06-09,61.0,-0.0757575757575758
110,110,110,2022-06-10,62.5,0.024590163934426146
111,111,111,2022-06-13,57.0,-0.08799999999999997
112,112,112,2022-06-14,59.5,0.04385964912280693
113,113,113,2022-06-15,61.0,0.025210084033613356
114,114,114,2022-06-16,61.5,0.008196721311475308
115,115,115,2022-06-17,57.5,-0.06504065040650409
116,116,116,2022-06-21,57.5,0.0
117,117,117,2022-06-22,54.5,-0.05217391304347829
118,118,118,2022-06-23,60.0,0.10091743119266061
119,119,119,2022-06-24,57.5,-0.04166666666666663
120,120,120,2022-06-27,63.5,0.10434782608695659
121,121,121,2022-06-28,120.5,0.8976377952755905
122,122,122,2022-06-29,77.0,-0.3609958506224067
123,123,123,2022-06-30,58.25,-0.24350649350649356
124,124,124,2022-07-01,32.0,-0.45064377682403434
125,125,125,2022-07-05,33.54999923706055,0.04843747615814209
126,126,126,2022-07-06,34.150001525878906,0.017883824216472055
127,127,127,2022-07-07,36.25,0.06149336399091254
128,128,128,2022-07-08,34.25,-0.05517241379310345
129,129,129,2022-07-11,34.599998474121094,0.010218933550980802
130,130,130,2022-07-12,33.45000076293945,-0.033236929534600335
131,131,131,2022-07-13,32.099998474121094,-0.04035881189916379
132,132,132,2022-07-14,29.0,-0.09657316577819475
133,133,133,2022-07-15,27.64999961853028,-0.0465517372920593
134,134,134,2022-07-18,28.049999237060547,0.014466532515327701
135,135,135,2022-07-19,28.950000762939453,0.03208561676856636
136,136,136,2022-07-20,29.5,0.018998246029914956
137,137,137,2022-07-21,30.049999237060547,0.01864404193425573
138,138,138,2022-07-22,27.049999237060547,-0.09983361318359407
139,139,139,2022-07-25,24.950000762939453,-0.07763395687065078
140,140,140,2022-07-26,27.0,0.08216429556609883
141,141,141,2022-07-27,25.89999961853028,-0.040740754869248885
142,142,142,2022-07-28,26.0,0.0038610186464316243
143,143,143,2022-07-29,25.549999237060547,-0.017307721651517394
144,144,144,2022-08-01,27.450000762939453,0.07436405411405778
145,145,145,2022-08-02,26.600000381469727,-0.03096540465737696
146,146,146,2022-08-03,28.299999237060547,0.06390973049666138
147,147,147,2022-08-04,30.850000381469727,0.09010604993479299
148,148,148,2022-08-05,29.799999237060547,-0.0340356930770046
149,149,149,2022-08-08,30.5,0.023489959089290968
150,150,150,2022-08-09,33.900001525878906,0.11147545986488216
151,151,151,2022-08-10,31.75,-0.06342187106503872
152,152,152,2022-08-11,32.099998474121094,0.011023573988065971
153,153,153,2022-08-12,28.25,-0.11993765287013791
154,154,154,2022-08-15,26.89999961853028,-0.04778762412282189
155,155,155,2022-08-16,26.14999961853028,-0.02788104128757518
156,156,156,2022-08-17,27.100000381469727,0.036328901598386976
157,157,157,2022-08-18,26.350000381469727,-0.027675276363199997
158,158,158,2022-08-19,25.25,-0.04174574442295975
159,159,159,2022-08-22,22.950000762939453,-0.09108907869546723
160,160,160,2022-08-23,23.14999961853028,0.008714546794865274
161,161,161,2022-08-24,23.39999961853028,0.010799136247064522
162,162,162,2022-08-25,22.5,-0.038461522786418234
163,163,163,2022-08-26,21.450000762939453,-0.04666663275824656
164,164,164,2022-08-29,21.200000762939453,-0.011655011240463087
165,165,165,2022-08-30,20.0,-0.05660380753557426
166,166,166,2022-08-31,20.14999961853028,0.007499980926513938
167,167,167,2022-09-01,19.049999237060547,-0.05459059068458516
168,168,168,2022-09-02,19.0,-0.0026246319718100652
169,169,169,2022-09-06,19.299999237060547,0.015789433529502572
170,170,170,2022-09-07,19.450000762939453,0.007772100093707213
171,171,171,2022-09-08,19.25,-0.01028281517194285
172,172,172,2022-09-09,20.0,0.03896103896103886
173,173,173,2022-09-12,19.450000762939453,-0.027499961853027388
174,174,174,2022-09-13,20.25,0.041131064559384756
175,175,175,2022-09-14,19.600000381469727,-0.032098746594087624
176,176,176,2022-09-15,20.0,0.020408143405366452
177,177,177,2022-09-16,18.64999961853028,-0.06750001907348602
178,178,178,2022-09-19,18.39999961853028,-0.013404826011449655
179,179,179,2022-09-20,18.049999237060547,-0.019021760256845655
180,180,180,2022-09-21,17.049999237060547,-0.05540166439158534
181,181,181,2022-09-22,15.149999618530272,-0.11143693275952538
182,182,182,2022-09-23,13.899999618530272,-0.08250825290260067
183,183,183,2022-09-26,14.199999809265137,0.021582748127196405
184,184,184,2022-09-27,14.25,0.003521140239892029
185,185,185,2022-09-28,14.649999618530272,0.028070148668791095
186,186,186,2022-09-29,14.199999809265137,-0.030716711329872415
187,187,187,2022-09-30,14.850000381469728,0.04577468879826907
188,188,188,2022-10-03,15.25,0.026936000555892514
189,189,189,2022-10-04,15.25,0.0
190,190,190,2022-10-05,15.100000381469728,-0.009836040559362047
191,191,191,2022-10-06,15.050000190734863,-0.0033112708259414037
192,192,192,2022-10-07,13.550000190734863,-0.0996677728232479
193,193,193,2022-10-10,13.899999618530272,0.02583021570986621
194,194,194,2022-10-11,12.850000381469728,-0.07553951553068938
195,195,195,2022-10-12,13.0,0.011673121718080104
196,196,196,2022-10-13,13.050000190734863,0.0038461685180664062
197,197,197,2022-10-14,13.050000190734863,0.0
198,198,198,2022-10-17,12.800000190734863,-0.019157087842611165
199,199,199,2022-10-18,13.600000381469728,0.06250001396983862
200,200,200,2022-10-19,13.5,-0.007352969019470135
201,201,201,2022-10-20,13.25,-0.01851851851851849
202,202,202,2022-10-21,13.5,0.018867924528301883
203,203,203,2022-10-24,13.5,0.0
204,204,204,2022-10-25,13.5,0.0
205,205,205,2022-10-26,13.5,0.0
206,206,206,2022-10-27,13.449999809265137,-0.003703717832212128
207,207,207,2022-10-28,13.449999809265137,0.0
208,208,208,2022-10-31,13.949999809265137,0.037174721716767056
209,209,209,2022-11-01,13.949999809265137,0.0
210,210,210,2022-11-02,14.0,0.0035842431124375462
211,211,211,2022-11-03,13.850000381469728,-0.010714258466448023
212,212,212,2022-11-04,13.350000381469728,-0.03610108203816098
213,213,213,2022-11-07,15.949999809265137,0.19475650588027693
214,214,214,2022-11-08,12.800000190734863,-0.19749214145447713
215,215,215,2022-11-09,10.199999809265137,-0.20312502677552358
216,216,216,2022-11-10,10.399999618530272,0.019607824804414697
217,217,217,2022-11-11,10.949999809265137,0.052884635664303126
218,218,218,2022-11-14,11.0,0.004566227543908896
219,219,219,2022-11-15,11.600000381469728,0.05454548922452074
220,220,220,2022-11-16,11.0,-0.05172416911539002
221,221,221,2022-11-17,10.949999809265137,-0.004545471884987551
222,222,222,2022-11-18,10.5,-0.04109587370808698
223,223,223,2022-11-21,9.600000381469728,-0.08571424938383543
224,224,224,2022-11-22,9.699999809265137,0.010416606648102844
225,225,225,2022-11-23,9.699999809265137,0.0
226,226,226,2022-11-25,9.899999618530272,0.02061853744307318
227,227,227,2022-11-28,9.949999809265137,0.005050524511261312
228,228,228,2022-11-29,10.0,0.005025144893802347
229,229,229,2022-11-30,10.5,0.050000000000000044
230,230,230,2022-12-01,10.0,-0.04761904761904767
231,231,231,2022-12-02,10.149999618530272,0.01499996185302721
232,232,232,2022-12-05,10.199999809265137,0.004926127351136289
233,233,233,2022-12-06,9.399999618530272,-0.07843139271514377
234,234,234,2022-12-07,9.5,0.010638338885950338
235,235,235,2022-12-08,9.5,0.0
236,236,236,2022-12-09,9.449999809265137,-0.00526317797209086
237,237,237,2022-12-12,10.050000190734863,0.06349210514072845
238,238,238,2022-12-13,9.850000381469728,-0.01990047815616114
239,239,239,2022-12-14,9.600000381469728,-0.02538070967695716
240,240,240,2022-12-15,9.699999809265137,0.010416606648102844
241,241,241,2022-12-16,9.75,0.005154658940003776
242,242,242,2022-12-19,9.0,-0.07692307692307687
243,243,243,2022-12-20,8.75,-0.02777777777777779
244,244,244,2022-12-21,9.100000381469728,0.04000004359654041
245,245,245,2022-12-22,10.100000381469728,0.10989010528354415
246,246,246,2022-12-23,9.75,-0.034653501806976905
247,247,247,2022-12-27,9.850000381469728,0.01025644938151049
248,248,248,2022-12-28,9.600000381469728,-0.02538070967695716
249,249,249,2022-12-29,10.0,0.04166662527455367
250,250,250,2022-12-30,11.350000381469728,0.13500003814697292
