Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,83.0,93.0,81.0999984741211,93.0,93.0,6382
2022-01-04,91.0,91.25,87.5,89.5,89.5,2986
2022-01-05,88.0,89.94999694824219,84.5,86.0,86.0,2984
2022-01-06,85.5,86.0,79.5,79.5,79.5,5466
2022-01-07,78.5,81.5,76.5,77.0,77.0,4610
2022-01-10,76.5,76.5,72.0,74.5,74.5,5270
2022-01-11,74.5,81.25,73.0,80.5,80.5,4612
2022-01-12,81.0,81.0,74.5,75.5,75.5,4334
2022-01-13,76.5,76.94999694824219,73.5,75.5,75.5,2452
2022-01-14,73.0,79.0,71.5,79.0,79.0,4172
2022-01-18,76.5,79.0,75.0,77.5,77.5,4284
2022-01-19,77.0,77.0,74.0,75.5,75.5,1798
2022-01-20,75.5,77.5,73.5,74.0,74.0,2014
2022-01-21,74.0,74.0,67.5,67.5,67.5,3476
2022-01-24,65.0,67.5,58.0,63.5,63.5,5716
2022-01-25,62.5,65.0,61.0,63.0,63.0,2562
2022-01-26,64.0,67.5,63.0,63.5,63.5,6012
2022-01-27,63.5,65.0,59.0,59.0,59.0,3486
2022-01-28,60.0,61.900001525878906,57.5,60.0,60.0,2502
2022-01-31,58.5,64.0,58.099998474121094,63.5,63.5,2926
2022-02-01,61.0,66.0,61.0,64.0,64.0,3188
2022-02-02,64.0,64.0,59.5,60.0,60.0,3464
2022-02-03,57.5,60.5,55.5,58.5,58.5,2434
2022-02-04,59.0,60.400001525878906,56.5,59.5,59.5,1486
2022-02-07,60.0,61.0,57.0,57.5,57.5,4878
2022-02-08,56.5,61.0,56.5,59.5,59.5,2696
2022-02-09,59.0,63.75,59.0,59.5,59.5,1954
2022-02-10,60.0,64.5,60.0,63.0,63.0,3816
2022-02-11,62.5,63.5,60.0,60.5,60.5,3230
2022-02-14,62.0,64.5,59.5,60.5,60.5,3264
2022-02-15,62.5,65.5,60.5,63.5,63.5,4184
2022-02-16,64.0,76.5,61.5,70.5,70.5,8960
2022-02-17,71.0,71.0,63.5,65.0,65.0,4120
2022-02-18,65.0,66.0,63.0,63.5,63.5,1528
2022-02-22,62.0,62.5,59.0,59.0,59.0,3430
2022-02-23,62.0,62.0,54.0,54.0,54.0,4038
2022-02-24,47.650001525878906,53.0,47.0,53.0,53.0,4256
2022-02-25,52.0,55.0,51.0,53.5,53.5,1126
2022-02-28,52.5,56.5,52.5,54.5,54.5,2536
2022-03-01,53.0,54.5,51.5,52.0,52.0,1962
2022-03-02,52.0,54.0,51.5,52.5,52.5,1792
2022-03-03,52.5,54.0,52.5,53.0,53.0,1892
2022-03-04,52.5,53.0,51.0,52.0,52.0,2128
2022-03-07,52.0,52.0,46.54999923706055,47.0,47.0,5622
2022-03-08,46.5,47.5,42.79999923706055,46.900001525878906,46.900001525878906,4354
2022-03-09,47.349998474121094,49.5,45.5,48.75,48.75,3492
2022-03-10,47.29999923706055,48.75,46.349998474121094,48.400001525878906,48.400001525878906,1984
2022-03-11,48.75,49.0,44.099998474121094,45.0,45.0,2158
2022-03-14,45.5,46.0,41.599998474121094,43.099998474121094,43.099998474121094,3426
2022-03-15,43.0,46.45000076293945,43.0,44.0,44.0,1000
2022-03-16,44.599998474121094,46.45000076293945,44.04999923706055,45.0,45.0,3874
2022-03-17,45.29999923706055,58.0,45.0,53.5,53.5,10182
2022-03-18,53.5,55.5,52.5,54.5,54.5,3446
2022-03-21,54.0,59.0,54.0,58.0,58.0,4932
2022-03-22,58.0,58.650001525878906,55.0,57.0,57.0,3370
2022-03-23,57.0,61.5,56.0,61.0,61.0,3196
2022-03-24,63.5,64.5,59.5,64.0,64.0,3874
2022-03-25,64.0,71.0,61.70000076293945,70.5,70.5,7392
2022-03-28,71.0,73.0,63.0,67.5,67.5,10514
2022-03-29,77.0,77.0,67.5,68.5,68.5,12164
2022-03-30,68.5,71.0,65.55000305175781,67.5,67.5,3252
2022-03-31,65.5,68.5,58.5,59.0,59.0,5134
2022-04-01,58.599998474121094,59.5,56.0,57.0,57.0,2126
2022-04-04,57.0,59.5,57.0,59.0,59.0,1892
2022-04-05,57.0,62.0,57.0,59.0,59.0,1950
2022-04-06,57.0,62.0,57.0,60.0,60.0,1610
2022-04-07,61.0,65.0,58.5,62.5,62.5,10408
2022-04-08,63.0,63.0,57.5,59.5,59.5,4430
2022-04-11,59.5,61.45000076293945,59.150001525878906,60.5,60.5,1984
2022-04-12,59.70000076293945,60.5,57.650001525878906,58.650001525878906,58.650001525878906,1994
2022-04-13,61.0,61.0,58.0,58.25,58.25,2784
2022-04-14,58.5,60.5,57.0,58.5,58.5,3934
2022-04-18,57.5,59.75,53.5,54.75,54.75,3300
2022-04-19,55.0,58.0,55.0,55.54999923706055,55.54999923706055,842
2022-04-20,57.5,58.5,54.5,56.0,56.0,1116
2022-04-21,55.5,56.0,51.25,53.0,53.0,2808
2022-04-22,52.0,52.5,47.5,47.900001525878906,47.900001525878906,4346
2022-04-25,45.150001525878906,47.54999923706055,45.0,46.900001525878906,46.900001525878906,2644
2022-04-26,46.5,46.5,43.5,43.5,43.5,3292
2022-04-27,44.0,45.95000076293945,44.0,44.25,44.25,1104
2022-04-28,45.0,46.20000076293945,40.099998474121094,41.20000076293945,41.20000076293945,3686
2022-04-29,41.099998474121094,43.0,40.25,42.75,42.75,2022
2022-05-02,41.900001525878906,43.400001525878906,38.599998474121094,40.75,40.75,4650
2022-05-03,40.0,41.0,39.0,40.849998474121094,40.849998474121094,1732
2022-05-04,41.5,41.900001525878906,37.0,41.900001525878906,41.900001525878906,3072
2022-05-05,40.0,41.0,37.5,38.20000076293945,38.20000076293945,1844
2022-05-06,38.20000076293945,41.849998474121094,37.5,38.099998474121094,38.099998474121094,2008
2022-05-09,38.5,39.0,34.04999923706055,35.0,35.0,2256
2022-05-10,36.0,36.5,34.29999923706055,34.75,34.75,1368
2022-05-11,36.0,36.0,32.599998474121094,33.5,33.5,1856
2022-05-12,34.0,35.5,33.0,34.5,34.5,2432
2022-05-13,32.599998474121094,39.650001525878906,32.599998474121094,39.29999923706055,39.29999923706055,1612
2022-05-16,38.0,42.75,38.0,41.25,41.25,1696
2022-05-17,43.5,43.5,41.0,42.79999923706055,42.79999923706055,1144
2022-05-18,39.79999923706055,43.0,39.5,41.25,41.25,520
2022-05-19,41.75,41.75,40.20000076293945,41.5,41.5,840
2022-05-20,40.70000076293945,43.45000076293945,40.54999923706055,40.79999923706055,40.79999923706055,1046
2022-05-23,40.5,41.75,40.0,40.54999923706055,40.54999923706055,1074
2022-05-24,41.5,41.5,37.54999923706055,38.54999923706055,38.54999923706055,998
2022-05-25,38.5,38.54999923706055,35.150001525878906,35.5,35.5,1230
2022-05-26,39.04999923706055,40.0,36.20000076293945,39.5,39.5,1500
2022-05-27,39.0,40.0,36.54999923706055,40.0,40.0,468
2022-05-31,40.0,52.5,39.45000076293945,50.54999923706055,50.54999923706055,9136
2022-06-01,47.75,50.5,45.75,47.25,47.25,4314
2022-06-02,47.25,50.0,41.349998474121094,45.75,45.75,5666
2022-06-03,45.0,47.0,43.5,43.95000076293945,43.95000076293945,2736
2022-06-06,42.849998474121094,43.650001525878906,39.29999923706055,41.25,41.25,2062
2022-06-07,44.45000076293945,44.45000076293945,40.0,41.400001525878906,41.400001525878906,1206
2022-06-08,39.099998474121094,41.5,38.79999923706055,39.849998474121094,39.849998474121094,2910
